Pathology,AUC,Vietnamese_Name
Atelectasis,0.7100000000000001,Xẹp phổi
Cardiomegaly,0.5,Tim to / Phì đại cơ tim
Effusion,0.48000000000000004,Tràn dịch màng phổi
Infiltration,0.4736842105263158,Thâm nhiễm phổi
Mass,0.9166666666666666,U phổi
Nodule,0.5434782608695652,Nốt mờ phổi
Pneumonia,0.5,Viêm phổi
Pneumothorax,0.40476190476190477,Tràn khí màng phổi
Consolidation,0.5,Đông đặc phổi
Edema,0.0,Phù phổi
Emphysema,0.36363636363636365,Khí phế thũng
Fibrosis,0.875,Xơ hóa phổi
Pleural_Thickening,0.2608695652173913,Dày màng phổi
Hernia,0.5,Thoát vị cơ hoành
